order_id,date,product_id,product_name,category,qty,price,customer_id,city,channel
O1,2023-01-21,P6734,Rice,Groceries,3,390.95,C16265,Islamabad,Online
O2,2023-06-01,P9322,Jacket,Clothing,5,302.55,C77221,Multan,In-Store
O3,2023-10-04,P2184,Sugar,Groceries,2,95.0,C63707,Lahore,In-Store
O4,2023-02-28,P3558,Ball,Toys,1,149.16,C28431,Faisalabad,In-Store
O5,2023-05-11,P4556,Shoes,Clothing,4,298.25,C13890,Quetta,Online
O6,2023-11-12,P9433,Knife Set,Kitchenware,2,474.7,C53001,Karachi,In-Store
O7,2023-09-21,P9226,Car,Toys,4,124.31,C90077,Karachi,In-Store
O8,2023-02-23,P4843,Charger,Electronics,4,159.3,C50757,Multan,Online
O9,2023-09-27,P8629,Headphones,Electronics,4,470.05,C11016,Peshawar,In-Store
O10,2023-02-22,P5887,Ball,Toys,5,139.32,C22185,Karachi,In-Store
O11,2023-01-15,P1064,Milk,Groceries,5,74.76,C58984,Quetta,Online
O12,2023-06-12,P6892,Cooker,Kitchenware,3,103.43,C13561,Quetta,In-Store
O13,2023-02-02,P8215,Cooker,Kitchenware,1,313.53,C45222,Peshawar,In-Store
O14,2023-02-04,P6056,Puzzle,Toys,4,320.59,C18110,Peshawar,Online
O15,2023-12-25,P7938,Hotpot,Kitchenware,2,121.81,C10206,Quetta,In-Store
O16,2023-12-18,P3790,Charger,Electronics,5,104.85,C64268,Faisalabad,In-Store
O17,2023-01-29,P2059,Puzzle,Toys,5,272.22,C65820,Quetta,Online
O18,2023-02-14,P3693,Jeans,Clothing,4,465.2,C79163,Faisalabad,In-Store
O19,2023-08-19,P8392,Shoes,Clothing,2,65.43,C40080,Karachi,Online
O20,2023-12-25,P9901,Cooker,Kitchenware,5,431.06,C31959,Islamabad,Online
O21,2023-06-01,P2998,Doll,Toys,3,138.36,C83530,Peshawar,In-Store
O22,2023-02-21,P2291,Cooker,Kitchenware,1,37.12,C62733,Quetta,In-Store
O23,2023-03-22,P1698,T-Shirt,Clothing,5,146.0,C36736,Lahore,In-Store
O24,2023-05-06,P6249,Sugar,Groceries,5,175.81,C97092,Faisalabad,In-Store
O25,2023-09-12,P5389,Oil,Groceries,3,187.98,C77863,Multan,In-Store
O26,2023-05-24,P9800,Headphones,Electronics,3,409.13,C52107,Islamabad,In-Store
O27,2023-12-12,P2986,Puzzle,Toys,4,166.35,C21411,Quetta,In-Store
O28,2023-09-24,P9155,Hotpot,Kitchenware,2,419.67,C83656,Karachi,In-Store
O29,2023-04-22,P3049,Laptop,Electronics,4,91.6,C41616,Peshawar,In-Store
O30,2023-08-21,P4170,Doll,Toys,3,98.41,C52642,Islamabad,In-Store
O31,2023-04-14,P9445,Cooker,Kitchenware,4,46.65,C58354,Peshawar,Online
O32,2023-12-04,P3869,T-Shirt,Clothing,5,145.54,C71135,Multan,Online
O33,2023-10-04,P5911,Rice,Groceries,4,122.44,C13987,Quetta,Online
O34,2023-01-22,P7893,Cooker,Kitchenware,1,273.56,C89909,Peshawar,Online
O35,2023-10-04,P5893,Jeans,Clothing,3,220.03,C49790,Karachi,Online
O36,2023-07-11,P8679,Rice,Groceries,3,288.14,C83744,Faisalabad,In-Store
O37,2023-08-21,P2060,Car,Toys,5,442.33,C28711,Multan,Online
O38,2023-04-26,P1190,Puzzle,Toys,3,490.26,C20492,Multan,In-Store
O39,2023-10-08,P6854,Cooker,Kitchenware,3,88.9,C33093,Lahore,Online
O40,2023-09-30,P9096,Charger,Electronics,2,130.81,C88069,Quetta,Online
O41,2023-01-13,P7971,Laptop,Electronics,2,406.01,C97545,Quetta,Online
O42,2023-05-22,P7002,Rice,Groceries,4,326.73,C65766,Quetta,In-Store
O43,2023-03-04,P2148,Headphones,Electronics,3,235.47,C32677,Lahore,In-Store
O44,2023-02-23,P3491,Cooker,Kitchenware,2,412.19,C90135,Multan,In-Store
O45,2023-09-19,P1876,Milk,Groceries,5,231.35,C68335,Faisalabad,In-Store
O46,2023-05-04,P2693,Jacket,Clothing,4,70.71,C96672,Quetta,Online
O47,2023-04-27,P6949,Sugar,Groceries,2,17.55,C61990,Quetta,Online
O48,2023-01-01,P8805,Rice,Groceries,1,90.78,C15237,Karachi,In-Store
O49,2023-07-11,P1580,Doll,Toys,1,477.66,C69638,Islamabad,In-Store
O50,2023-07-04,P6188,Charger,Electronics,3,380.13,C54078,Karachi,In-Store
O51,2023-12-07,P8421,Rice,Groceries,4,13.49,C69101,Multan,Online
O52,2023-06-29,P8390,Headphones,Electronics,5,443.91,C75417,Lahore,Online
O53,2023-01-04,P3839,Charger,Electronics,1,271.99,C67679,Quetta,In-Store
O54,2023-06-27,P3427,Cooker,Kitchenware,3,401.47,C14000,Multan,Online
O55,2023-06-17,P4913,T-Shirt,Clothing,4,196.12,C92986,Faisalabad,Online
O56,2023-08-30,P3082,Ball,Toys,2,24.29,C37350,Karachi,In-Store
O57,2023-04-25,P9808,Car,Toys,2,16.52,C30358,Faisalabad,In-Store
O58,2023-08-05,P8164,Car,Toys,5,468.64,C54425,Multan,Online
O59,2023-04-06,P7806,T-Shirt,Clothing,3,209.25,C17357,Multan,In-Store
O60,2023-12-21,P5968,Knife Set,Kitchenware,5,371.25,C65069,Karachi,Online
O61,2023-07-06,P8186,Milk,Groceries,1,163.42,C57280,Faisalabad,In-Store
O62,2023-10-11,P1717,Doll,Toys,3,50.19,C61934,Faisalabad,Online
O63,2023-01-25,P6588,Laptop,Electronics,5,50.39,C70566,Karachi,Online
O64,2023-08-11,P5729,Doll,Toys,2,487.25,C19348,Islamabad,Online
O65,2023-03-17,P8241,Puzzle,Toys,3,62.95,C92873,Faisalabad,Online
O66,2023-10-10,P3681,Car,Toys,5,115.18,C93460,Multan,Online
O67,2023-05-25,P9702,Shoes,Clothing,5,188.47,C50262,Karachi,Online
O68,2023-12-30,P6301,Milk,Groceries,4,46.33,C36790,Islamabad,In-Store
O69,2023-08-30,P4709,Laptop,Electronics,3,130.57,C40355,Faisalabad,In-Store
O70,2023-12-14,P1504,Puzzle,Toys,1,373.38,C38016,Karachi,In-Store
O71,2023-02-13,P7316,Frying Pan,Kitchenware,5,481.8,C44620,Quetta,Online
O72,2023-08-15,P7190,Puzzle,Toys,4,41.53,C27640,Karachi,In-Store
O73,2023-01-12,P2353,Hotpot,Kitchenware,3,451.07,C20975,Peshawar,In-Store
O74,2023-03-31,P4719,Rice,Groceries,2,98.12,C94665,Faisalabad,In-Store
O75,2023-07-11,P7042,Milk,Groceries,5,487.33,C57605,Quetta,Online
O76,2023-08-08,P1924,Hotpot,Kitchenware,5,407.83,C37532,Peshawar,Online
O77,2023-07-16,P2838,Car,Toys,2,211.24,C85672,Lahore,In-Store
O78,2023-10-16,P3193,Laptop,Electronics,5,86.59,C18415,Quetta,Online
O79,2023-12-08,P7970,T-Shirt,Clothing,2,193.54,C82474,Karachi,Online
O80,2023-11-07,P3000,Frying Pan,Kitchenware,1,210.34,C70100,Quetta,Online
O81,2023-07-21,P5178,T-Shirt,Clothing,5,364.43,C23456,Multan,In-Store
O82,2023-07-24,P8939,Frying Pan,Kitchenware,1,477.26,C31949,Karachi,Online
O83,2023-04-28,P1770,Charger,Electronics,2,251.59,C42049,Faisalabad,Online
O84,2023-04-22,P3814,Rice,Groceries,3,204.72,C29758,Quetta,Online
O85,2023-04-13,P7881,Doll,Toys,2,403.5,C16949,Lahore,In-Store
O86,2023-11-04,P5261,Headphones,Electronics,3,50.05,C66800,Quetta,In-Store
O87,2023-05-18,P7327,Laptop,Electronics,1,475.01,C95392,Lahore,Online
O88,2023-02-22,P6569,Milk,Groceries,5,490.12,C79836,Peshawar,Online
O89,2023-09-06,P8830,Shoes,Clothing,3,42.55,C90719,Quetta,Online
O90,2023-07-14,P2887,Milk,Groceries,4,176.11,C43434,Multan,In-Store
O91,2023-10-04,P6124,Smartphone,Electronics,2,115.81,C97505,Faisalabad,In-Store
O92,2023-05-13,P7376,Car,Toys,5,276.61,C26907,Lahore,In-Store
O93,2023-03-14,P7937,Smartphone,Electronics,2,346.75,C20488,Quetta,Online
O94,2023-10-19,P2276,Jacket,Clothing,5,6.28,C97731,Quetta,Online
O95,2023-01-14,P6126,Charger,Electronics,2,375.0,C15122,Quetta,Online
O96,2023-10-21,P7882,Jacket,Clothing,4,58.05,C44674,Quetta,In-Store
O97,2023-02-08,P2976,Knife Set,Kitchenware,5,95.23,C60448,Quetta,In-Store
O98,2023-01-13,P7168,Headphones,Electronics,4,120.44,C17561,Islamabad,Online
O99,2023-02-03,P8943,Car,Toys,4,270.87,C87735,Karachi,In-Store
O100,2023-06-29,P6401,Jeans,Clothing,1,172.04,C58447,Lahore,Online
O101,2023-05-30,P2733,T-Shirt,Clothing,5,467.18,C11605,Quetta,In-Store
O102,2023-12-16,P4735,Sugar,Groceries,3,48.5,C37446,Karachi,Online
O103,2023-08-11,P1005,Jacket,Clothing,5,491.28,C51427,Faisalabad,Online
O104,2023-03-03,P6560,Oil,Groceries,1,247.92,C63441,Quetta,Online
O105,2023-11-22,P9915,Laptop,Electronics,5,385.9,C59376,Faisalabad,Online
O106,2023-11-16,P2828,Oil,Groceries,1,307.26,C11917,Islamabad,Online
O107,2023-06-27,P1009,Rice,Groceries,3,298.97,C92180,Quetta,In-Store
O108,2023-03-25,P9512,Sugar,Groceries,5,343.86,C11342,Multan,Online
O109,2023-02-07,P4490,Hotpot,Kitchenware,3,239.22,C52078,Karachi,Online
